Date/Time,T [outside],T [comb 1/2],T [comb 4/5],T [comb 5/6],Humidity
2018/11/07 23:27:00,13.0,34.7,24.2,23.3,50.4
2018/11/07 23:32:00,13.0,34.5,24.2,23.3,51.0
2018/11/07 23:37:00,13.0,34.5,24.2,23.3,50.9
2018/11/07 23:42:00,13.0,34.5,24.2,23.3,51.0
2018/11/07 23:47:00,13.0,34.2,24.2,23.3,50.5
2018/11/07 23:52:00,13.0,34.5,24.2,23.3,50.5
2018/11/08 00:07:00,12.8,34.2,24.2,23.3,50.3
2018/11/08 00:12:00,12.8,34.0,24.2,23.3,51.4
2018/11/08 00:17:00,12.8,34.0,24.2,23.4,53.1
2018/11/08 00:22:00,12.8,34.5,24.2,23.3,51.6
2018/11/08 00:27:00,12.8,34.5,24.2,23.3,51.3
2018/11/08 00:32:00,12.8,34.7,24.2,23.3,52.9
2018/11/08 00:37:00,12.5,34.5,24.2,23.3,50.3
2018/11/08 00:42:00,12.5,34.5,24.2,23.3,50.5
2018/11/08 00:47:00,12.5,34.7,24.0,23.3,50.4
2018/11/08 00:52:00,12.5,34.7,24.0,23.3,50.8
2018/11/08 00:57:00,12.5,34.7,24.0,23.3,50.3
2018/11/08 01:02:00,12.5,34.7,24.2,23.3,51.1
2018/11/08 01:07:00,12.5,34.5,24.0,23.3,50.3
2018/11/08 01:12:00,12.5,34.5,24.0,23.3,50.1
2018/11/08 01:17:00,12.5,34.5,24.0,23.2,50.5
2018/11/08 01:22:00,12.5,34.2,24.0,23.2,51.6
2018/11/08 01:27:00,12.5,34.5,24.2,23.3,50.5
2018/11/08 01:32:00,12.5,34.5,24.0,23.3,50.9
2018/11/08 01:37:00,12.5,34.7,24.2,23.3,50.6
2018/11/08 01:42:00,12.5,34.5,24.2,23.2,50.9
2018/11/08 01:47:00,12.5,34.2,24.2,23.2,50.0
2018/11/08 01:52:00,12.5,34.0,24.2,23.2,50.5
2018/11/08 02:07:00,12.5,34.7,24.0,23.2,50.3
2018/11/08 02:12:00,12.3,34.7,24.0,23.2,50.4
2018/11/08 02:17:00,12.3,34.2,24.0,23.2,53.4
2018/11/08 02:22:00,12.3,34.2,24.0,23.2,50.5
2018/11/08 02:27:00,12.3,34.2,24.0,23.2,50.7
2018/11/08 02:32:00,12.3,34.2,24.0,23.2,50.7
2018/11/08 02:37:00,12.3,34.2,24.0,23.2,51.4
2018/11/08 02:42:00,12.3,34.5,24.0,23.2,50.5
2018/11/08 02:47:00,12.3,34.2,24.0,23.2,50.2
2018/11/08 02:52:00,12.3,34.5,24.0,23.1,50.9
2018/11/08 02:57:00,12.0,34.2,24.0,23.1,49.5
2018/11/08 03:02:00,12.0,34.5,24.0,23.2,50.4
2018/11/08 03:07:00,12.0,34.5,24.0,23.2,50.7
2018/11/08 03:12:00,12.0,34.5,24.0,23.2,50.0
2018/11/08 03:17:00,12.0,34.2,24.0,23.1,50.1
2018/11/08 03:22:00,12.0,34.2,23.7,23.1,50.7
2018/11/08 03:27:00,12.0,34.5,23.7,23.0,50.3
2018/11/08 03:32:00,11.8,34.5,23.7,23.1,50.7
2018/11/08 03:37:00,12.0,34.5,23.7,23.1,49.7
2018/11/08 03:42:00,12.0,34.7,23.7,23.1,50.2
2018/11/08 03:47:00,12.0,34.7,23.7,23.1,50.4
2018/11/08 03:52:00,11.8,34.7,23.7,23.0,49.6
2018/11/08 04:07:00,11.8,34.5,24.0,23.1,49.8
2018/11/08 04:12:00,11.8,34.7,23.7,23.0,49.5
2018/11/08 04:17:00,11.8,34.7,23.7,23.0,49.7
2018/11/08 04:22:00,11.8,34.5,23.7,23.0,49.5
2018/11/08 04:27:00,11.8,34.7,23.7,23.1,49.7
2018/11/08 04:32:00,11.5,34.5,23.7,23.0,50.0
2018/11/08 04:37:00,11.5,34.5,23.7,23.0,49.3
2018/11/08 04:42:00,11.5,34.7,23.7,23.0,49.1
2018/11/08 04:47:00,11.5,34.5,23.5,23.1,49.7
2018/11/08 04:52:00,11.5,34.7,23.7,22.9,49.4
2018/11/08 04:57:00,11.5,34.5,23.5,23.0,49.0
2018/11/08 05:02:00,11.3,34.5,23.7,23.0,49.5
2018/11/08 05:07:00,11.3,34.2,23.7,22.9,50.1
2018/11/08 05:12:00,11.3,34.2,23.5,23.0,49.8
2018/11/08 05:17:00,11.3,34.2,23.5,23.0,50.2
2018/11/08 05:22:00,11.3,34.2,23.5,22.9,50.1
2018/11/08 05:27:00,11.3,34.5,23.5,22.9,50.3
2018/11/08 05:32:00,11.3,34.2,23.5,22.9,49.8
2018/11/08 05:37:00,11.3,34.5,23.5,22.9,49.8
2018/11/08 05:42:00,11.3,34.5,23.5,22.9,50.4
2018/11/08 05:47:00,11.3,34.5,23.5,22.9,50.3
2018/11/08 05:52:00,11.3,34.5,23.5,22.9,49.9
2018/11/08 06:07:00,11.5,34.7,23.5,22.8,51.1
2018/11/08 06:12:00,11.5,34.5,23.5,22.8,50.6
2018/11/08 06:17:00,11.3,34.2,23.5,22.9,50.4
2018/11/08 06:22:00,11.3,34.2,23.5,22.8,50.9
2018/11/08 06:27:00,11.3,34.7,23.5,22.9,50.6
2018/11/08 06:32:00,11.3,34.5,23.5,22.9,51.2
2018/11/08 06:37:00,11.3,34.7,23.5,22.8,51.3
2018/11/08 06:42:00,11.3,34.5,23.5,22.8,50.1
2018/11/08 06:47:00,11.5,34.7,23.5,22.8,50.6
2018/11/08 06:52:00,11.3,34.7,23.2,22.8,50.7
2018/11/08 06:57:00,11.3,34.5,23.2,22.9,51.0
2018/11/08 07:02:00,11.3,34.5,23.5,22.8,50.4
2018/11/08 07:07:00,11.3,34.5,23.2,22.8,50.5
2018/11/08 07:12:00,11.3,34.5,23.2,22.8,51.1
2018/11/08 07:17:00,11.3,34.5,23.2,22.7,50.0
2018/11/08 07:22:00,11.3,34.5,23.2,22.8,50.5
2018/11/08 07:27:00,11.5,34.7,23.2,22.7,49.8
